representation,compartment,bootstrap_id,ari,nmi,nn_accuracy,silhouette
stack,all,102,0.26666666666666666,0.5239645650766063,0.1111111111111111,0.02492147497832775
stack,all,103,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.04139591380953789
stack,all,104,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.034896817058324814
stack,all,105,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.035082221031188965
stack,all,106,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.046717800199985504
stack,all,107,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.043739862740039825
stack,all,108,0.26666666666666666,0.5239645650766063,0.3333333333333333,0.04291153699159622
stack,all,109,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.036781441420316696
stack,all,110,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.04261200129985809
stack,all,111,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.04389423877000809
stack,all,112,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.040032368153333664
stack,all,113,0.26666666666666666,0.5239645650766063,0.1111111111111111,0.02607002481818199
stack,all,114,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.028902696445584297
stack,all,115,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03819938376545906
stack,all,116,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.034380361437797546
stack,all,117,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.020314600318670273
stack,all,118,0.07142857142857142,0.3930065516315367,0.0,0.03916851803660393
stack,all,119,0.35714285714285715,0.589509827447305,0.1111111111111111,0.03274243324995041
stack,all,120,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.04586914926767349
stack,all,121,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.03133675456047058
stack,all,122,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.038685474544763565
stack,all,123,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.036053672432899475
stack,all,124,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.022646645084023476
stack,all,125,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.024802472442388535
stack,all,126,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.023992767557501793
stack,all,127,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03647066652774811
stack,all,128,0.26666666666666666,0.5239645650766063,0.1111111111111111,0.023676130920648575
stack,all,129,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.03267257660627365
stack,all,130,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.04441668465733528
stack,all,131,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03192226588726044
stack,all,132,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.04447414353489876
stack,all,133,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03118348866701126
stack,all,134,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.040424998849630356
stack,all,135,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.03488165885210037
stack,all,136,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.038092851638793945
stack,all,137,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.03633010387420654
stack,all,138,0.26666666666666666,0.5239645650766062,0.3333333333333333,0.04559249058365822
stack,all,139,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.028995288535952568
stack,all,140,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.0464172437787056
stack,all,141,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.02820012718439102
stack,all,142,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.03678194805979729
stack,all,143,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.04500718414783478
stack,all,144,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.039670247584581375
stack,all,145,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.05030953884124756
stack,all,146,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.042733948677778244
stack,all,147,0.26666666666666666,0.5239645650766062,0.2222222222222222,0.02516634203493595
stack,all,148,0.26666666666666666,0.5239645650766062,0.3333333333333333,0.031175043433904648
stack,all,149,0.26666666666666666,0.5239645650766063,0.2222222222222222,0.03193948417901993
stack,all,150,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.039704978466033936
stack,all,151,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03785346820950508
stack,all,152,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.03374509885907173
stack,all,153,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.03632092475891113
stack,all,154,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.026332244277000427
stack,all,155,0.26666666666666666,0.5239645650766063,0.1111111111111111,0.026127193123102188
stack,all,156,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.026987548917531967
stack,all,157,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.04340243712067604
stack,all,158,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.0399794839322567
stack,all,159,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.021602367982268333
stack,all,160,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03659912571310997
stack,all,161,0.26666666666666666,0.5239645650766062,0.2222222222222222,0.032693035900592804
stack,all,162,0.26666666666666666,0.5239645650766063,0.2222222222222222,0.0414593368768692
stack,all,163,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.04762311279773712
stack,all,164,0.26666666666666666,0.5239645650766063,0.2222222222222222,0.02910924330353737
stack,all,165,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.04739284887909889
stack,all,166,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.04193219169974327
stack,all,167,0.26666666666666666,0.5239645650766063,0.3333333333333333,0.03175127133727074
stack,all,168,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.034730348736047745
stack,all,169,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.01446908712387085
