representation,bootstrap_id,ari,nmi,nn_accuracy,silhouette
pca,69,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.046079277992248535
pca,70,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.05553273856639862
pca,71,0.06493506493506493,0.40490058363640974,0.0,0.07261660695075989
pca,72,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.043216522783041
pca,73,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.060071732848882675
pca,74,0.06493506493506493,0.40490058363640974,0.0,0.056603386998176575
pca,75,0.06493506493506493,0.40490058363640974,0.0,0.05601721256971359
pca,76,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.050040874630212784
pca,77,0.06493506493506493,0.40490058363640974,0.0,0.05372766777873039
pca,78,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.0346919521689415
pca,79,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.0384046733379364
pca,80,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.030332131311297417
pca,81,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.03764328733086586
pca,82,0.06493506493506493,0.40490058363640974,0.0,0.05477064847946167
pca,83,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.03796650469303131
pca,84,0.06493506493506493,0.40490058363640974,0.0,0.061691660434007645
pca,85,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.06112121790647507
pca,86,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.038178637623786926
pca,87,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.0028731119818985462
pca,88,0.06493506493506493,0.40490058363640974,0.0,0.04932763800024986
pca,89,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.04640079289674759
pca,90,0.06493506493506493,0.40490058363640974,0.0,0.05721263214945793
pca,91,0.06493506493506493,0.40490058363640974,0.0,0.06310003995895386
pca,92,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.045306190848350525
pca,93,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.059565331786870956
pca,94,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.05731265991926193
pca,95,0.06493506493506493,0.40490058363640974,0.0,0.06423373520374298
pca,96,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.015985114499926567
pca,97,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.03838340938091278
pca,98,0.06493506493506493,0.40490058363640974,0.0,0.06016083061695099
pca,99,0.06493506493506493,0.40490058363640974,0.0,0.03751208260655403
pca,100,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.03119448572397232
pca,101,0.06493506493506493,0.40490058363640974,0.0,0.06645431369543076
pca,102,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.031242946162819862
pca,103,0.06493506493506493,0.40490058363640974,0.0,0.04279978573322296
pca,104,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.026308903470635414
pca,105,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.027497800067067146
pca,106,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.059117164462804794
pca,107,0.06493506493506493,0.40490058363640974,0.0,0.04912200942635536
pca,108,0.06493506493506493,0.40490058363640974,0.0,0.06989448517560959
pca,109,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.059808339923620224
pca,110,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.05118909105658531
pca,111,0.06493506493506493,0.40490058363640974,0.0,0.06312718987464905
pca,112,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.04680190980434418
pca,113,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.03384280949831009
pca,114,0.06493506493506493,0.40490058363640974,0.0,0.0449976921081543
pca,115,0.06493506493506493,0.40490058363640974,0.0,0.0782194435596466
pca,116,0.06493506493506493,0.40490058363640974,0.0,0.039542123675346375
pca,117,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.033683937042951584
pca,118,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.03399290144443512
pca,119,0.06493506493506493,0.40490058363640974,0.0,0.0576501339673996
pca,120,0.06493506493506493,0.40490058363640974,0.3333333333333333,0.060191843658685684
pca,121,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.02834000252187252
