sample_id,histology_type,radiological_type,gender,organism,cohort,compartment,epithelial_score,immune_score,stromal_score,endothelial_score
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.5833650568688764,0.7957401689965954,0.5833650568688764,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6753482306641168,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,3.4669943497432834,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.43571979130692495,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.8803152221978433,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.0,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.6278773880293524,0.9133437333909218,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,stromal,0.27112053645628154,0.10195755647654359,3.1946003896193758,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.0994273970453068,0.8077933931240404,0.07882893816941491,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.3855911474429724,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.3063591734651427,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5814733536469758,0.33456256807464685,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.1340893832464025,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,3.109019236887275,0.0846440287421509,0.1439325801795266
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.8435575345995228,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0090284563210783,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.858373396221636,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.7312615858259135,0.9075922952359363,0.21034216443694848,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.8180795707608794,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0121772619233351,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0706882877834256,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.3189723959019069,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.1358316513609459,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.575718720682063,0.24160493284737097,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.32966066683278644,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6829649204850419,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.2548882147943046,0.3102546176225097,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.37088208683794444,0.0,0.37088208683794444
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.7134745684441098,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5139525688986168,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.687670437627158,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,2.3554778148887925,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.283091456922167,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.337546249015562,0.8511006822402791,0.36465511546499607,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.8348103965394227,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.9378675575786475,1.1396669877870036,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.3002257373278812,0.5828366636316373,0.3002257373278812,0.0
